0,0
1,3
2,3
3,39
4,9
5,19
6,21
7,36
8,23
9,6
10,24
11,24
12,12
13,1
14,38
15,39
16,23
17,24
18,17
19,37
20,25
21,13
22,8
23,9
24,20
25,16
26,5
27,15
28,0
29,18
30,35
31,24
32,29
33,19
34,19
35,14
36,39
37,32
38,1
39,9
40,32
41,31
42,10
43,23
44,35
45,11
46,28
47,34
48,0
49,0
50,36
51,5
52,38
53,17
54,15
55,4
56,31
57,1
58,1
59,39
60,35
61,38
62,11
63,18
64,27
65,0
66,14
67,35
68,12
69,20
70,11
71,4
72,6
73,4
74,3
75,12
76,36
77,14
78,15
79,20
80,35
81,23
82,15
83,13
84,21
85,5
86,35
87,0
88,31
89,5
90,30
91,0
92,36
93,34
94,29
95,3
96,34
97,13
98,39
99,21
100,9
101,0
102,10
103,23
104,2
105,34
106,35
107,30
108,3
109,18
110,35
111,20
112,17
113,27
114,14
115,1
116,36
117,10
118,22
119,11
120,2
121,16
122,32
123,0
124,38
125,19
126,13
127,30
128,24
129,2
130,3
131,30
132,34
133,13
134,8
135,19
136,31
137,8
138,26
139,2
140,3
141,14
142,32
143,4
144,3
145,11
146,22
147,13
148,11
149,16
150,24
151,29
152,21
153,25
154,16
155,19
156,33
157,32
158,36
159,6
160,21
161,31
162,13
163,7
164,24
165,15
166,18
167,15
168,11
169,38
170,29
171,1
172,31
173,24
174,24
175,3
176,18
177,3
178,12
179,38
180,35
181,22
182,5
183,23
184,32
185,11
186,20
187,10
188,37
189,28
190,2
191,27
192,19
193,25
194,23
195,20
196,29
197,3
198,35
199,39
200,9
201,9
202,23
203,3
204,26
205,3
206,31
207,9
208,10
209,27
210,7
211,39
212,21
213,33
214,34
215,34
216,24
217,33
218,5
219,36
220,0
221,11
222,34
223,5
224,16
225,8
226,1
227,17
228,35
229,27
230,36
231,25
232,3
233,39
234,35
235,30
236,29
237,33
238,18
239,17
240,29
241,20
242,2
243,5
244,37
245,12
246,2
247,27
248,21
249,39
250,39
251,11
252,22
253,30
254,17
255,6
256,7
257,18
258,28
259,19
260,29
261,21
262,9
263,25
264,32
265,27
266,9
267,28
268,17
269,0
270,22
271,16
272,36
273,30
274,24
275,3
276,8
277,27
278,29
279,23
280,32
281,19
282,8
283,7
284,23
285,13
286,17
287,0
288,11
289,28
290,36
291,25
292,32
293,14
294,22
295,28
296,20
297,18
298,4
299,22
300,35
301,19
302,7
303,8
304,13
305,5
306,0
307,8
308,15
309,15
310,11
311,4
312,39
313,28
314,26
315,10
316,27
317,35
318,18
319,34
320,30
321,18
322,23
323,1
324,6
325,30
326,16
327,26
328,35
329,9
